label,ess,rhat
Overall,469.7768870842951,1.00603056834217
as,366.0357118157425,1.0060357139571972
bs,576.2692192992687,1.0064394512529071
σs,459.872722077179,1.0045400656494177
ws,422.0879586585842,1.0072290023076387
ps,477.7180354823911,1.0055138849382055
es,398.2007741390541,1.005938943488145
σ,978.7263957328072,1.0052663789676723
