parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
σ_w_e[1],0.39608157641487146,0.41329373092514865,0.015731837674062017,858.7215103962694,794.0960660768535,1.0018669541701486,0.0005452131722238795
σ_w_e[2],0.3061926430684251,0.3638502654058687,0.013982471285226616,559.5726849709075,398.358327693572,0.9995716786607165,0.00035527979090920354
ρ_w_e[1,1],1.0,0.0,NaN,NaN,NaN,NaN,NaN
ρ_w_e[2,1],-0.0903936795465048,0.4460297880872818,0.009572588077112282,2041.9293674469757,709.021153674511,1.0055586748736312,0.0012964468391727174
ρ_w_e[1,2],-0.0903936795465048,0.4460297880872818,0.009572588077112282,2041.9293674469757,709.021153674511,1.0055586748736312,0.0012964468391727174
ρ_w_e[2,2],1.0,8.094215190468155e-17,2.5485905186106436e-18,1017.2479150785339,NaN,1.001638691089612,0.0006458635960594012
ab_w_e[1,1],0.055654093000417716,0.21822837802881878,0.007704062395467854,969.1399761986441,628.5134242384848,1.0053172900120853,0.0006153192558416356
ab_w_e[2,1],-0.053930379192070825,0.17697398182788557,0.0048989177329796735,1241.404591225748,631.4455311973918,1.0104628215607891,0.0007881835111864676
ab_w_e[1,2],-0.1405825851295239,0.21799025718105153,0.007482992575974713,1033.39619493536,565.5066889815548,1.002944976478033,0.0006561163436383413
ab_w_e[2,2],0.07059728713846766,0.17742128182933603,0.004978108688223913,1223.3376642070007,668.3308276453465,1.0093921938426673,0.0007767125902033856
σ_p_e[1],0.6234769176224134,0.0947636206459434,0.0033094938114397944,806.431757999406,861.8298731583104,0.9994923592602152,0.0005120137455949376
σ_p_e[2],0.28421979206849307,0.049646676227656165,0.0018148427668290747,766.3490319884203,994.0580937483305,1.0000197531163215,0.00048656471475635354
ρ_p_e[1,1],1.0,0.0,NaN,NaN,NaN,NaN,NaN
ρ_p_e[2,1],0.5750619852099823,0.15347849153357404,0.004765189317055178,1051.5088942992459,807.388409108493,1.0025371510121954,0.0006676163260635685
ρ_p_e[1,2],0.5750619852099823,0.15347849153357404,0.004765189317055178,1051.5088942992459,807.388409108493,1.0025371510121954,0.0006676163260635685
ρ_p_e[2,2],1.0,6.73831632955632e-17,2.176855381821712e-18,1005.1346193917352,865.7741411603403,1.000237806475647,0.000638172711078032
ab_p_e[1,1],-0.269191556618587,0.15643843996169518,0.003386756113805146,2109.2173922597035,977.0273791493598,1.0030567352245894,0.0013391688590786786
ab_p_e[2,1],0.07295791637937911,0.10848404654190782,0.0035975908388100725,900.1445557294576,801.5929372066712,1.0017034793544288,0.000571513188790204
ab_p_e[1,2],0.5654194083132047,0.15091696429082221,0.003558847142519237,1819.6474303362556,771.7454374412324,1.004143818352732,0.0011553172196243737
ab_p_e[2,2],0.17120322738625876,0.10981321896763441,0.003344686705491971,1080.3236023787913,895.2957471217723,1.0021320838565808,0.0006859111494825188
ab_p_e[1,3],0.2975664673863244,0.15892244934216693,0.0045297596701461985,1268.1159892227806,846.8831760208881,0.9987376939644348,0.0008051429163721794
ab_p_e[2,3],0.19064553330754425,0.11209563355553925,0.0036356647350102426,952.2101602796861,827.3046727901659,1.003763184411179,0.0006045703011099881
ab_p_e[1,4],0.21177658390886678,0.1565549636894838,0.004300886243214176,1283.2909214004706,836.8064782528335,0.9999221917299751,0.0008147776731713454
ab_p_e[2,4],-0.1537818021031228,0.1037362933326517,0.003442448247466735,909.9220547271781,767.4930898528337,0.9981121193379925,0.0005777210468447938
ab_p_e[1,5],-0.06302550480672252,0.16036730557484652,0.004277058791795575,1412.637113409221,788.4819566705364,1.0032373520354612,0.0008969012100880192
ab_p_e[2,5],0.0355243195027488,0.10114044010011819,0.0031928491580907486,1004.3079393471675,838.7251844882052,1.0099052091903054,0.0006376478414386247
ab_p_e[1,6],0.08264280293747392,0.15474055243348372,0.003965302685115819,1514.7191764725626,817.8352899023187,1.0011640963372983,0.0009617144059333627
ab_p_e[2,6],0.602486962377695,0.11639937275189521,0.0036034145822838905,1048.3012128811456,914.5526364905843,1.0007823604788821,0.0006655797284702008
ab_p_e[1,7],0.19433489935546377,0.1562550805889426,0.0037693018585592095,1670.4803467798154,833.7523477052679,1.0042374317923541,0.0010606091474116939
ab_p_e[2,7],0.007977232825716031,0.10444026934135871,0.003172988223294844,1082.5446531917494,824.877667720892,1.002610148060396,0.0006873213227980148
ab_p_e[1,8],0.24804233582765298,0.15611757191028258,0.0038972478305738145,1605.3733507946597,776.7191789871631,1.0009887052287079,0.0010192718903553831
