parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a_w_s[1],0.13611267891041734,0.5290529315861969,0.016730122666016204,0.059865357280769686,64.69751289621631,1.0427801873086697,0.025424726318517776
a_w_s[2],0.02284657377438934,0.5287221393930895,0.01671966209839199,0.05956844193988606,65.86196972172958,1.0409263213765223,0.02588233272057371
b_w_s[1],-0.10682776716908604,0.29286632223832565,0.00926124628229931,0.020991929818107567,172.0053958213955,1.0081173594931232,0.06759440847567817
b_w_s[2],0.11224607596391327,0.29190758615662926,0.009230928385367852,0.02090191949175565,173.20507841292965,1.0058546786777718,0.06806585784356615
a_p_s[1],-0.11862257417303469,0.25442424163422445,0.008045600955251897,0.02807147551382034,46.19456436709883,1.0797321114204625,0.018153466862330162
a_p_s[2],0.7814885806208698,0.251479709012086,0.007952486657945642,0.028647349393213426,37.003165705584806,1.094532143009216,0.014541445549729574
a_p_s[3],0.4631831045484231,0.2526758022138068,0.007990310446058453,0.02789219108109387,45.232469167126865,1.0833987111555627,0.017775384211906095
a_p_s[4],0.43751760739054435,0.2515284527894684,0.007954028071528528,0.028330988355406154,48.05063310414236,1.0781339070237648,0.01888286181980539
a_p_s[5],0.11343719233464138,0.2537231543843151,0.008023430629769724,0.02829350265255704,46.18743855429411,1.0810549160697265,0.01815066657168147
a_p_s[6],0.18073163135465578,0.25487566002206374,0.00805987605808443,0.028751927207781275,42.619945446004735,1.0860673918044097,0.01674871877089112
a_p_s[7],0.39022606139545235,0.25339353271424214,0.008013007077333933,0.028315677668387083,51.435076340434975,1.0792588465449973,0.020212874971336146
a_p_s[8],0.4626697727160324,0.2549958999139583,0.008063678377324425,0.028483880265696843,51.11773837902516,1.0817029099109052,0.020088168001034776
a_p_s[9],-0.6150705159191968,0.24867008213507846,0.007863638454879945,0.027684273800553477,43.34597413011217,1.0875869556325455,0.017034032375178136
a_p_s[10],-0.496568088484089,0.2559411644987004,0.008093570268117207,0.028454320500056723,43.379206085970715,1.0851029301853459,0.017047091816645196
a_p_s[11],-1.2574227470183252,0.26036091953908486,0.008233335194393449,0.028596689600079824,42.27104306302177,1.0849330067891092,0.016611607664109466
a_p_s[12],-0.9356921996838781,0.25448285711964264,0.008047454539652676,0.0281643259915978,41.87841303666294,1.085278760674502,0.016457312537175934
b_p_s[1],0.13844196635309863,0.16923180491625273,0.005351579560766393,0.01072110017796022,197.51862499126614,1.0143211723409065,0.07762055693344248
b_p_s[2],0.24884192487164866,0.16616606926678293,0.005254632487203391,0.01075071325805978,191.2928273096596,1.0133541502734624,0.07517395280473005
b_p_s[3],0.24930744566573923,0.1635335248338491,0.005171384122706718,0.010182057672486608,189.77772744340135,1.0158923773481163,0.07457855125495746
b_p_s[4],-0.17672659341588656,0.1660569085442668,0.005251180522061586,0.010304926614938793,194.91262101499944,1.0164119754592522,0.0765964536114518
b_p_s[5],0.07122003963556528,0.16632510680494778,0.00525966169574406,0.01058511748037111,201.6106475355212,1.0122784211312028,0.07922863348259487
b_p_s[6],0.7746735756993111,0.16212610487378287,0.0051268775957247935,0.009920604226537686,196.01996770640173,1.0121927200325929,0.07703161696330711
b_p_s[7],0.02488996037898304,0.16390780900791146,0.005183220027528639,0.01023164526067282,183.76766043889512,1.0156239627639982,0.07221672462661946
b_p_s[8],0.09848684360638725,0.16224470302516392,0.005130627998571289,0.010235138117569865,188.35314731697056,1.0135239560616751,0.07401872200941284
b_p_s[9],-0.043973076630225774,0.16359511202747423,0.005173331680772251,0.009866027433621909,207.03846355184353,1.0128149689634305,0.08136164803824919
b_p_s[10],-0.37017346075747626,0.16550486839637632,0.0052337234797896846,0.010913571882050612,185.97284975050508,1.01338384583554,0.07308331643545982
b_p_s[11],-0.7293017503044745,0.16941085810191736,0.005357241719656486,0.011022532872444934,192.67750718593172,1.008516071512967,0.07571810211305742
b_p_s[12],-0.32614484430687396,0.17060416250875685,0.0053949773183317755,0.010777921085856238,202.49059626592705,1.011316965500369,0.0795744343432985
a_e,-0.35285740392921155,0.566949211829099,0.0179285082701723,0.06962493071960708,48.35865113137271,1.0651187612192154,0.019003906257109553
b_e,0.02363312947778573,0.28873165502087994,0.00913049662455972,0.022452030501436127,174.50306659043846,1.0082392728610627,0.06857593918519009
σ,4.038631481902229,0.019854420757485322,0.0006278519121697919,0.0007700547142632279,923.4214947841232,1.0011448689780722,0.36288471891005203
