parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a_w_e,-0.14994256031942463,0.8591504955650188,0.027168724188478512,0.02820544112869045,584.682853554682,1.0008049016551164,0.004525283026788457
b_w_e,0.008551450623979665,0.4722333868897576,0.014933330897471316,0.012433670642208542,1315.9054084951506,0.9979026597380742,0.010184742674971079
σ_w_e[1],0.4116321686753874,0.5210875057460529,0.01647823378413605,0.026802186240888294,458.9719794665065,1.009412316087732,0.003552315748313687
σ_w_e[2],0.49015700020835806,0.4716632660235343,0.01491530209268278,0.014925275226198258,647.6544084542674,1.0010501676816483,0.0050126653860026555
ρ_w_e[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_e[2,1],-0.02693292639562855,0.4494460780303728,0.014212732920057421,0.014609149094102325,1187.3388706621317,1.0004432829959646,0.00918967335160789
ρ_w_e[1,2],-0.02693292639562855,0.4494460780303728,0.014212732920057421,0.014609149094102325,1187.3388706621317,1.0004432829959646,0.00918967335160789
ρ_w_e[2,2],1.0,8.56092531260688e-17,2.7072022866426736e-18,0.0,1000.6249150930576,0.9959919678390986,0.00774455915189373
ab_w_e[1,1],-0.1111251022351564,0.9040869888039965,0.028589740875437777,0.030251456978829576,569.408960461665,1.0018244487674945,0.004407067333021156
ab_w_e[2,1],-0.1028192776740675,0.5322852652722366,0.016832338032071934,0.012285263333683367,1361.867149260808,0.9972974738102258,0.010540473793309798
ab_w_e[1,2],-0.21188242522219036,0.9070931844551433,0.028684805128934947,0.030299926878206734,565.3781875450147,1.0014875715890441,0.004375870269256313
ab_w_e[2,2],0.11210866083628758,0.5336201062304113,0.016874549409491072,0.01185244135603123,1424.7961998947342,0.997046960523268,0.011027527181303473
a_p_e,-0.046469780634878444,0.8595702586477805,0.02718199826267032,0.04820167176161667,244.56818196359725,1.0117768133032723,0.0018928898564473985
b_p_e,-0.006666857630479096,0.46042964197735353,0.014560063709043102,0.014906833526654444,772.245716724666,1.000904082159318,0.005976967535746941
σ_p_e[1],0.6766205603383254,0.15521512776320062,0.004908333310457502,0.006600556086160322,660.7448919103219,1.0037059165996953,0.005113982095114254
σ_p_e[2],0.4080573555870448,0.1046577963053467,0.0033095701121885063,0.004421115959895907,604.3787558952357,0.9989070163531567,0.0046777238449467315
ρ_p_e[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_p_e[2,1],0.5449640918375495,0.2106773277729962,0.006662202071205171,0.009237847451753076,577.6078878486346,1.0130776871850466,0.004470524755650457
ρ_p_e[1,2],0.5449640918375495,0.2106773277729962,0.006662202071205171,0.009237847451753076,577.6078878486346,1.0130776871850466,0.004470524755650457
ρ_p_e[2,2],1.0,7.500840092889342e-17,2.3719739058239275e-18,0.0,951.5347334410357,0.9959919678390986,0.007364614769291648
ab_p_e[1,1],-0.11326612301018618,0.8697590301724086,0.02750419550843923,0.04936193654488393,228.1946095092204,1.0130949356758552,0.0017661629496034427
ab_p_e[2,1],0.12273935514401264,0.47530851169916005,0.015030574882341345,0.014770736918535487,818.1541990173623,1.0015721869550658,0.0063322864482851
ab_p_e[1,2],0.7682060743572106,0.8668041476407936,0.02741075391825775,0.049212659223871864,246.8718286754393,1.0122997000377219,0.0019107194426947758
ab_p_e[2,2],0.2543920403186141,0.4726800965724259,0.014947457097972143,0.014921825153633241,807.7348204207601,1.0012998164259486,0.006251643349507316
ab_p_e[1,3],0.4562377363394099,0.8652847855456582,0.02736270747014622,0.049108833645089126,244.32746723251515,1.0128236493441425,0.001891026791231374
ab_p_e[2,3],0.24286461938210158,0.4764793933235711,0.015067601410377112,0.015075089445948046,802.3034172956819,1.0007831919460153,0.006209605796628636
ab_p_e[1,4],0.4161744663276958,0.8652886471666594,0.02736282958532446,0.04899606757912657,226.00047540218134,1.0123875171358465,0.0017491809605255759
ab_p_e[2,4],-0.14893944822714644,0.4777074025509431,0.015106434471839104,0.015059016258668808,814.0015131076026,1.0009162422595093,0.006300145811786579
ab_p_e[1,5],0.1128819104624435,0.8637106430991814,0.027312928715222055,0.047991640755851536,252.57134831495952,1.012387472384186,0.001954832142988211
ab_p_e[2,5],0.07199574011137412,0.4787296840026625,0.015138761849810873,0.015630965994460164,819.2601495952388,1.0009946817615063,0.0063408461988372225
ab_p_e[1,6],0.2064464415824075,0.8690230215866396,0.027480920873354533,0.04879302940822128,230.82298959920777,1.0136870722994573,0.0017865058820784687
ab_p_e[2,6],0.7263865634550511,0.48070095205380897,0.015201098819014314,0.01493405469519773,837.9721379414502,1.0006205162121635,0.006485671795732642
ab_p_e[1,7],0.38009283933093896,0.866050457125222,0.027386920131457024,0.04945054741764393,209.58513458171944,1.0134970487782504,0.0016221307781195743
ab_p_e[2,7],0.03046581635395938,0.4729460831161943,0.014955868331024788,0.01550895955314491,816.6378985314736,1.0010351698856397,0.006320550703324245
ab_p_e[1,8],0.45363060332878696,0.8675330308700256,0.02743380322978447,0.04849984922314116,253.00609060321528,1.0121290587305891,0.0019581969276507172
ab_p_e[2,8],0.10793847842849194,0.4779947898611362,0.0151155224565475,0.015462027262883316,814.6592462912553,1.0012577434500511,0.00630523648409558
ab_p_e[1,9],-0.5968716287301435,0.8703315934425401,0.02752230154882093,0.04848325124353415,262.27947673684343,1.012927796528383,0.0020299703627980475
ab_p_e[2,9],-0.061362188356532246,0.4752890878368579,0.015029960645883023,0.015705731948597694,806.9156584346775,1.0005580195856143,0.006245303263066825
