parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a_w_s1[1],-0.07264089254747448,0.5650810861399026,0.017869432948838977,0.06464777702037405,28.255765351362545,1.1267325971809377,0.0018644577175711452
a_w_s1[2],-0.187120647971991,0.5682899034403253,0.017970904661485862,0.06467264107145651,27.545734581492724,1.1277769508970954,0.0018176063110657847
b_w_s1[1],-0.15210314609592396,0.28213019579891513,0.0089217401543384,0.02375240034621464,84.72349449687825,1.0493260269994864,0.005590482905347451
b_w_s1[2],0.06566794030296667,0.28431254427565755,0.008990752072685453,0.024123717046633807,102.42863451081482,1.0442545457279813,0.006758757221373716
a_p_s1[1],-0.06919708335553895,0.27764577579367666,0.008779930342324624,0.023746028858970373,121.99533864415748,1.0146227074330283,0.008049866914393685
a_p_s1[2],0.8280858389366025,0.27411769175641426,0.008668362528982308,0.023287599865887076,126.65357186509722,1.0113810777922945,0.008357240605073367
a_p_s1[3],0.5144658002731525,0.27542070042691064,0.008709567281079472,0.02396952401707361,117.28174008688616,1.0157162789078513,0.007738839939956663
a_p_s1[4],0.4860091879126025,0.2828445502726493,0.008944330026275711,0.023871274031676708,125.02670933369129,1.0124056569881246,0.00824989202100959
a_p_s1[5],0.16502706540368414,0.27559478446841146,0.008715072301833769,0.023588592263195363,118.86756376829354,1.0159157223801532,0.007843480573991531
a_p_s1[6],0.23797142168121224,0.27840941500121863,0.00880407873438901,0.023875360503432017,123.74701559970255,1.0133592153814066,0.00816545138283209
a_p_s1[7],0.43766102019794134,0.27479189006113314,0.008689682551357665,0.02346868271706225,121.47770965005652,1.014237916563651,0.008015711146149964
a_p_s1[8],0.5085891682996264,0.28490394203188485,0.009009453711813364,0.02476780601089537,118.57605823388413,1.01097862393912,0.007824245570565299
a_p_s1[9],-0.5616246354333239,0.2822118513222789,0.008924322328712027,0.023987977993226856,123.6754863370871,1.0122548745193505,0.008160731521803475
a_p_s1[10],-0.4482686770229186,0.2729429171106476,0.008631212892801906,0.023186507302604343,121.16300303707698,1.012134704695799,0.007994945218699617
a_p_s1[11],-1.214809856830449,0.27484364017491103,0.008691319033644776,0.022776333218995526,126.72978864417229,1.0135352292737434,0.008362269772048243
a_p_s1[12],-0.8865190661584135,0.27788717007910757,0.008787563899885727,0.023433903104440337,121.62014621199972,1.012796457430098,0.00802510982793674
b_p_s1[1],0.1426413552490972,0.16484597297663436,0.005212887377127312,0.010805072867985923,241.40225545590505,1.0182246794626113,0.015928936718825754
b_p_s1[2],0.25738210913377013,0.17029045867555134,0.005385057132095227,0.0102795494771015,267.33778390124127,1.0125661452091625,0.017640293518681866
b_p_s1[3],0.25212268649243985,0.16572898315632884,0.005240810610776803,0.010674051619978864,235.61125284064138,1.0190475699495958,0.015546817197933625
b_p_s1[4],-0.16623545425396916,0.16379243090776804,0.005179571451643076,0.010424457066328717,241.92065191918257,1.0150751822848085,0.015963143128551363
b_p_s1[5],0.07928121063216591,0.16422595464695233,0.005193280675998829,0.01041012076268067,226.86784032095053,1.0144391807811894,0.014969882800739544
b_p_s1[6],0.7800664741654209,0.16298080975160287,0.005153905737136465,0.010216708668217597,241.63704880304104,1.0218669682665105,0.015944429566485636
b_p_s1[7],0.033841226699928575,0.16345768348051307,0.0051689858085330045,0.010463454848453757,239.12545062691834,1.0200720098751805,0.015778701668314094
b_p_s1[8],0.1045527137161549,0.16566079006610263,0.005238654155918802,0.010324304288851092,239.63063074267947,1.0214405421349453,0.01581203599686198
b_p_s1[9],-0.027247586914913212,0.16640834411522148,0.005262293890611771,0.010832573643095575,229.10073787650433,1.017659897618172,0.015117220628196313
b_p_s1[10],-0.3659185958599181,0.16280197854256256,0.005148250597763575,0.010208164509875684,247.24660152168738,1.0167734968816875,0.016314576109265375
b_p_s1[11],-0.7246220120642491,0.16634003467273717,0.005260133756372304,0.010733555383466,218.19641809545175,1.0217835347531967,0.01439769868575964
b_p_s1[12],-0.31680949100163763,0.17074185429361488,0.0053993315148842275,0.010462039928011506,250.41351245077533,1.0143239816798864,0.016523544843581175
a_e_e,-0.19287991596754148,0.6029457494540056,0.019066818737918826,0.06696752137379114,23.746441347380323,1.125906354879453,0.001566909807057794
b_e_e,0.06107540582523806,0.2976666812027719,0.009413046961439884,0.026600636346722335,61.857485683944425,1.0587631677897427,0.004081668471507723
a_w_s2[1],0.23573281369772714,0.6365151421776407,0.02012837614467253,0.07384841686077398,22.30024599115782,1.1297601065219411,0.0014714825532037563
a_w_s2[2],-0.02638534885776498,0.640336672050474,0.020249223530117797,0.07392149987133376,22.389096868077914,1.1290805949160798,0.0014773453815903406
b_w_s2[1],-0.09088028854880371,0.2833563403239351,0.008960514248734484,0.0178717032349842,229.51154241740613,1.0199860750227057,0.01514432758096058
b_w_s2[2],0.1326067018760635,0.28614033645717196,0.009048551936515785,0.017678774306107568,240.07918466828139,1.016934857270762,0.015841633844166265
a_p_s2[1],-0.5457022991573067,0.2891218139094557,0.009142834531932311,0.028033393585783824,101.60647129838479,1.0114447691229136,0.006704506751515383
a_p_s2[2],0.49017220905028536,0.29002714797258955,0.009171463708760689,0.02819385698752404,102.50142504280558,1.0068329890663013,0.006763560307308522
a_p_s2[3],-0.3838757019406666,0.2906420293528376,0.009190907965284807,0.027791354264771813,101.21580732853765,1.0128246641043726,0.006678728775074077
a_p_s2[4],0.792394215051408,0.2870259091305806,0.009076556203331544,0.027788894458290785,99.83137645685991,1.0096556371986705,0.006587377053007952
a_p_s2[5],0.10267454901749211,0.29346143722182133,0.009280065470474708,0.027764223657224946,103.58820231590097,1.009530443567693,0.006835271345707484
a_p_s2[6],-0.9916131555335248,0.28610829536161647,0.009047538708108961,0.02769312060490858,104.20748627899091,1.0088578986849108,0.006876134820824622
a_p_s2[7],0.30240417107281975,0.2868854427970572,0.009072114267846475,0.027762475858826262,101.12651636502781,1.0128988459224149,0.006672836907557656
a_p_s2[8],0.8800724536804829,0.2877503577574713,0.009099465280419106,0.027356447623069467,105.79331219892536,1.008841420864642,0.006980775602568782
a_p_s2[9],-0.3267606334387982,0.2907024016170153,0.009192817103907836,0.028192833219881273,103.9637247885304,1.0077695251899776,0.00686005020989711
a_p_s2[10],-0.18076373893624623,0.2853138261846492,0.009022415386808801,0.02743762061126993,102.6592643239582,1.0080904300195146,0.006773975338089724
a_p_s2[11],0.41769045593885407,0.29093002357242553,0.009200015142153413,0.027899654301458732,102.53670648673118,1.0083615221964828,0.00676588835468562
a_p_s2[12],0.11017616074415558,0.2852045379409645,0.009018959389093572,0.027602924790095126,99.03192034584897,1.0094937699302589,0.006534624912073222
b_p_s2[1],0.18905322830414334,0.15907406302470817,0.005030363558152514,0.009994150216046658,217.9805156221825,1.0133822775584507,0.014383452353107742
