parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
cor[1],0.018294253411751064,0.646740231820539,0.020451721870182092,0.06543835429041539,14.63204545067531,1.2011462074984869,0.00012889164051844924
cor[2],0.009937898485216414,1.0668603270181727,0.03373708578649499,0.13773368490589766,7.99266269908259,1.4749260132845539,7.040624708747235e-5
cor[3],0.020209875191573908,0.5475781105077822,0.017315940260559715,0.03929949789797678,45.1393207092144,1.0669410496935756,0.0003976259585655219
cor[4],0.061037835394545284,1.1664171399778813,0.03688534864189547,0.15603290810135745,7.3959142819789285,1.542724915684512,6.514957380029848e-5
cor[5],-0.0052556848331472865,0.4951083010811479,0.01565669919872834,0.021696256916986213,498.5114606433522,1.0051293571232416,0.004391317686660447
cor[6],-0.024101459759514974,0.6232116789717353,0.019707683699683464,0.05858741251083384,17.01419987379333,1.180353044927686,0.00014987570543261277
σ_cor[1],0.7426351029538604,0.7609061910155855,0.024061966493323997,0.03591395332424845,591.054956595061,0.9984697378534835,0.005206520390393006
σ_cor[2],0.8970554036848748,0.8599616704140646,0.027194375789514794,0.03656142951653925,495.98939572287355,0.9979075337337491,0.004369101169756481
σ_cor[3],0.7036295059348079,0.6920984156356246,0.021886073584024654,0.03121503212461124,473.622974654391,1.004274015448035,0.004172078496900439
σ_cor[4],1.0170138353263014,0.9705403092659278,0.030691179382845536,0.05471977046685479,479.4755222496808,1.0038678504839564,0.004223632769562598
σ_cor[5],0.6878114069852166,0.6893118611523712,0.02179795499411231,0.04120731354423412,311.465671514994,0.9990969858891716,0.0027436575085881235
σ_cor[6],0.7425443984421461,0.7359202351437623,0.0232718411926098,0.03788861086587871,451.25260731816036,1.0126710981619949,0.003975021061924114
ρ_cor[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_cor[2,1],-0.008928562187579897,0.34328217528047084,0.010855535540234388,0.009402155787864623,1155.2379932526555,0.9968966826942639,0.010176329798969002
ρ_cor[3,1],0.01266842532983189,0.33633528208777597,0.01063585548872604,0.010103600164407565,1007.8405911770134,0.9975108498878131,0.00887792671337647
ρ_cor[4,1],0.012138243439186288,0.3209971813584768,0.01015082215586929,0.008198088546748432,1078.4465612884997,0.9974703083942766,0.009499884822291861
ρ_cor[5,1],0.0014791432732867722,0.3381869253448976,0.01069440958979201,0.010867846371393748,901.0576763053369,0.9969029048907543,0.007937290961283651
ρ_cor[6,1],-0.011833698386424014,0.34725103380479955,0.010981041866712924,0.012700247654027292,999.9478266606454,1.0012472333718194,0.008808400455399086
ρ_cor[1,2],-0.008928562187579897,0.34328217528047084,0.010855535540234388,0.009402155787864623,1155.2379932526555,0.9968966826942639,0.010176329798969002
ρ_cor[2,2],1.0,7.971335719950795e-17,2.5207576868902624e-18,0.0,390.15628245701936,0.9959919678390986,0.0034368320870780075
ρ_cor[3,2],0.003272442798886715,0.3322288582729552,0.010505998965798128,0.010261502633128068,1062.976289665045,1.001545640092625,0.009363609364732982
ρ_cor[4,2],0.026956625383320734,0.33772368691925114,0.010679760704544478,0.010459492375849925,840.4597127526803,0.9966156208691866,0.0074034919814548504
ρ_cor[5,2],-0.015339404763128377,0.32481067091742827,0.010271415284264866,0.013570803088499133,826.8103055917538,1.0074773024129218,0.007283256264103735
ρ_cor[6,2],0.0007681352947903634,0.32594792038540227,0.010307378270130991,0.009744232806879496,1003.0294458956472,0.9995306295099291,0.008835546007946166
ρ_cor[1,3],0.01266842532983189,0.33633528208777597,0.01063585548872604,0.010103600164407565,1007.8405911770134,0.9975108498878131,0.00887792671337647
ρ_cor[2,3],0.003272442798886715,0.3322288582729552,0.010505998965798128,0.010261502633128068,1062.976289665045,1.001545640092625,0.009363609364732982
ρ_cor[3,3],1.0,1.223370168426423e-16,3.8686361537313055e-18,0.0,1002.94725611789,0.9959919678390986,0.008834822009696935
ρ_cor[4,3],0.003314302068521947,0.32847120717198747,0.010387171604485155,0.010774263509047846,869.7631379621569,1.0018446058501016,0.00766162175290692
ρ_cor[5,3],0.021625173694674007,0.3349338054243652,0.010591536905286528,0.011038159213050569,841.0311546634045,0.9998307809243463,0.00740852573326915
ρ_cor[6,3],0.026707920768364417,0.3342830638346025,0.010570958649368039,0.013818913855294143,667.0859969637115,1.0039717003321342,0.005876267183927434
ρ_cor[1,4],0.012138243439186288,0.3209971813584768,0.01015082215586929,0.008198088546748432,1078.4465612884997,0.9974703083942766,0.009499884822291861
ρ_cor[2,4],0.026956625383320734,0.33772368691925114,0.010679760704544478,0.010459492375849925,840.4597127526803,0.9966156208691866,0.0074034919814548504
ρ_cor[3,4],0.003314302068521947,0.32847120717198747,0.010387171604485155,0.010774263509047846,869.7631379621569,1.0018446058501016,0.00766162175290692
ρ_cor[4,4],1.0,1.4427298818101325e-16,4.562312474905548e-18,0.0,987.8401798236704,0.9959919678390986,0.008701745888961575
ρ_cor[5,4],0.006795892827331712,0.33365337715848226,0.010551046208280032,0.012960546525286571,848.1234222693167,0.9978333820751403,0.007471000525997441
ρ_cor[6,4],-0.01930156695068855,0.32526923267062574,0.010285916280144306,0.013412632026189666,729.6589862894022,1.0004427193789862,0.006427463889372294
ρ_cor[1,5],0.0014791432732867722,0.3381869253448976,0.01069440958979201,0.010867846371393748,901.0576763053369,0.9969029048907543,0.007937290961283651
ρ_cor[2,5],-0.015339404763128377,0.32481067091742827,0.010271415284264866,0.013570803088499133,826.8103055917538,1.0074773024129218,0.007283256264103735
ρ_cor[3,5],0.021625173694674007,0.3349338054243652,0.010591536905286528,0.011038159213050569,841.0311546634045,0.9998307809243463,0.00740852573326915
