"I,cannot,tell,you,more."
"Helen,ran,to,the,toilet."
"He,uses,his,belt,on,you."
"I,don't,want,to,hear,it."
"This,man's,hair,is,black."
"Turn,your,hearing,aid,up."
"Roger,smiled,and,sat,down."
"A,horse,has,thrown,a,shoe."
"I,knew,I,heard,your,voice."
"He,stayed,against,the,wall."
"A,tube,train,took,his,legs."
"Jack,walked,up,to,the,door."
"Billy,wrote,on,the,envelope."
"He,called,over,his,shoulder."
"You'll,demand,nothing,of,me."
"Michael,gave,Adam,two,pounds."
"Things,were,looking,up,again."
"I,wouldn't,want,to,miss,this."
"He,put,the,fork,on,the,table."
"Anne,lost,control,and,laughed."
"I,am,touched,deeply,in,places."
"Gordon,felt,his,anger,build,up."
"He,needed,putting,in,his,place."
"I'll,give,him,more,than,a,slap."
"Five,will,be,listening,for,sure."
"Ross,sat,back,down,and,shivered."
"She,couldn't,help,feel,for,Alex."
"They're,riding,out,to,meet,them."
"Looks,like,a,walk,did,the,trick."
"Steve,sat,down,to,eat,his,lunch."
"The,campaign,will,pay,for,itself."
"We,barely,escaped,with,our,lives."
"Sam,felt,proud,when,he,went,home."
"Scott,got,up,and,washed,his,plate."
"Tom,stood,up,and,wiped,his,jeans."
"He,shouted,and,the,calling,ceased."
"He's,broken,his,wrists,very,badly."
"Ted,smiled,and,bit,his,bottom,lip."
"She,had,refused,to,leave,her,home."
"The,dead,must,not,kill,the,living."
"The,van,is,your,lead,,follow,that."
"Harry,smiled,at,his,little,brother."
"She,hid,the,boxes,and,matches,well."
"He,called,out,but,she,did,not,move."
"I,do,not,spare,the,birds,a,killing."
"Normally,they,want,to,cut,things,up."
"Powerful,in,the,wrong,hands,,is,that."
"There,will,be,men,to,kill,either,way."
"Simon,nodded,and,walked,into,the,room."
"The,prison,guard,walked,along,the,row."
"He,slammed,the,knife,down,on,the,lamb."
"He,smiled,when,she,let,out,a,big,yawn."
"You,give,me,a,lead,and,I'll,follow,it."
"The,bored,looking,soldier,just,pointed."
"Alice,is,looking,for,somewhere,to,live."
"Thomas,stepped,back,and,shook,his,head."
"Tony,stopped,off,at,his,first,delivery."
"You're,getting,up,early,in,the,morning."
"He,sat,down,and,began,to,eat,breakfast."
"She,saw,the,throwing,knife,in,his,hand."
"It,is,a,narrow,ship,,much,like,our,own."
"Let's,get,out,and,I'll,buy,you,a,drink."
"We've,been,travelling,almost,three,days."
"Alan,forgot,to,shave,again,this,morning."
"Have,a,carriage,sent,for,us,immediately."
"He,probably,doesn't,want,people,to,know."
"After,lunch,he,was,told,he,had,visitors."
"He,staggered,into,the,chair,at,his,desk."
"Let,us,leave,these,poor,people,in,peace."
"None,of,the,city,people,dress,like,that."
"Shut,your,smart,foul,mouth,and,sit,down."
"He,just,wished,he,could,talk,to,his,dad."
"Walter,closed,the,door,and,took,a,breath."
"He,is,after,glory,and,heads,for,his,hall."
"Come,within,the,walls,to,escape,the,enemy."
"Tell,me,what,really,happened,to,the,truck."
"John,gave,Bernard,a,hard,slap,on,the,head."
"No-one,else,had,dared,step,within,the,ring."
"Burn,him,now,,don't,wait,for,him,to,escape."
"Don't,die,of,cold,before,you,die,in,battle."
"He,sighed,and,walked,back,to,the,wood,shop."
"Duncan,took,a,breath,and,wanted,to,be,sick."
"Andrew,nodded,and,stood,against,the,counter."
"Albert,spoke,before,Barbara,had,a,chance,to."
"She,was,smiling,in,the,dark,,teeth,flashing."
"Charles,felt,sick,to,the,pit,of,his,stomach."
"She,turned,and,saw,him,standing,in,her,path."
"Men,could,be,paid,to,do,all,sorts,of,things."
"Follow,me,closely,and,watch,for,their,leader."
"The,door,was,opened,and,Alexander,walked,out."
"Andrew,closed,the,office,door,on,the,way,out."
"His,men,will,not,follow,him,and,they,are,few."
"She,would,soon,be,found,if,she,tried,to,hide."
"Alec,stood,against,the,wall,to,steady,himself."
"He,lay,his,sword,aside,and,extended,his,hands."
"Let's,have,the,gates,closed,and,go,home,early."
"William,sat,down,and,tucked,into,his,breakfast."
"There,were,choked,screams,and,shouts,of,dismay."
"Jimmy,liked,the,fact,they,were,calling,him,Jim."
"Phil,let,him,go,and,Charlie,fell,to,the,ground."
"He,went,to,the,door,and,walked,out,of,the,room."
