parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
a_w_s[1],0.12350247985853846,0.5576954022128662,0.08841439034102788,41.95781889560503,163.8717608426623,1.076076135724114,0.003940460537148099
a_w_s[2],-0.21749541614368145,0.5596319204745599,0.0891156160339249,41.94472190861043,176.44336558418956,1.0768151799113408,0.0039392305361193
b_w_s[1],-0.06904353479062916,0.26949591528730205,0.019296791615136262,199.91266945466933,240.59539977158792,1.0139341290865715,0.018774760118538267
b_w_s[2],0.1681448270382549,0.2703233312478516,0.019764424351738585,191.91244955666127,249.50195543049543,1.0085652352687753,0.018023420996858858
a_p_s[1],-0.7202765265837442,0.23362125830084723,0.024353925165502978,91.46054404736337,181.3248916381244,1.049350505318954,0.008589499502379553
a_p_s[2],0.35829502621027476,0.2366356043376991,0.02554277750846222,85.80410075413994,208.83746506484556,1.0469346680827074,0.008058275712291226
a_p_s[3],-0.5038202051884626,0.23446763352531083,0.024233065997190165,92.35648960573211,180.11039097313864,1.047467734076566,0.00867364205814417
a_p_s[4],0.6437146638613567,0.23906546630857073,0.02500725565372394,90.59349553297241,146.8964431730257,1.044224116302626,0.008508070806973552
a_p_s[5],-0.0575848927180264,0.2318109753962188,0.024017287340716217,92.37296771295695,178.27529214515997,1.049602983464747,0.008675189596432754
a_p_s[6],-1.1024874340737965,0.22481445419166546,0.023597749490080193,90.56290515407841,177.91403511166956,1.042412139932977,0.00850519791739013
a_p_s[7],0.12833833744854095,0.22911682591804808,0.02491158925123028,85.5830399006811,101.48136958149418,1.0496974194233557,0.008037514824516527
a_p_s[8],0.6939403425924451,0.22944797604119208,0.02441864087390744,89.74288115375448,147.2987969167054,1.0478434174502818,0.008428185520229295
a_p_s[9],-0.5047846740477114,0.229012020917756,0.02481813262703444,84.30629456268036,125.67203241828817,1.0505913271617535,0.007917609530275727
a_p_s[10],-0.3695793019441965,0.2296362023946679,0.023544602937923768,94.64425262122957,202.42109885428187,1.0444764312164108,0.00888849688420995
a_p_s[11],0.20255743596288653,0.23385984098661644,0.025493022858188847,83.83302672811703,196.18617784272718,1.0546171820449246,0.007873162672105182
a_p_s[12],-0.10240072710374297,0.2332566795676788,0.023989991288707737,94.44660846721023,125.89858310770161,1.0420560188450432,0.008869935171284666
a_p_s[13],0.33853821831450637,0.23049344463321597,0.024373908546329884,88.01985125838951,220.3020945103034,1.0471441360613882,0.008266367497135552
a_p_s[14],0.22425388535936228,0.23047746676306186,0.0256136202476094,81.28081998650067,153.15794231370748,1.054311480007176,0.007633472664075808
a_p_s[15],-0.23400260732996522,0.22498314461783422,0.02163865155727521,107.11841587508145,189.42806978511598,1.0368746408613847,0.010060005540511792
a_p_s[16],-0.0547856665647309,0.2289558059924932,0.024418823561856488,87.72229545774593,174.63601695412063,1.0499335512204833,0.008238422601025655
a_p_s[17],-0.12621239858687044,0.22799208033078716,0.02470473763108432,85.0402849901119,124.3979460828289,1.0516966887470323,0.007986542100892294
a_p_s[18],-0.358595527213904,0.22756227601857493,0.023441487873256835,93.60441279846602,183.2131777248802,1.0447790728472879,0.008790840526124472
a_p_s[19],0.29765551933191176,0.22850087379224077,0.02471000162935531,85.33093618896365,128.23398473155564,1.0517558463752543,0.008013838552645416
a_p_s[20],0.18470841032240617,0.23244000005593785,0.02450420562568848,90.55413371721781,160.6763992369509,1.04765394846552,0.008504374149574905
a_p_s[21],1.2555355982903353,0.2339730643035925,0.025272741304558106,85.76595671027549,229.5121583028213,1.0517824429002227,0.008054693421706744
a_p_s[22],-0.054830386543431454,0.23552844426788003,0.025815812694586084,83.45331484603747,226.1943798367191,1.050196147028202,0.007837502103319577
a_p_s[23],-0.22978432079058014,0.23073283557476482,0.023919723130279853,95.32933431805081,179.06710438739876,1.045071934779176,0.008952836200745046
a_p_s[24],0.17168761149933498,0.237801809357086,0.025338122390961705,88.83299029791506,142.4092215949996,1.0459973682218429,0.008342733294519757
b_p_s[1],0.0941367321876697,0.14956330792915293,0.007766994935367408,373.28143693371317,701.9416787682082,1.0023599157809904,0.035056654759556785
