parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a,-0.023306116267172772,0.7501922487501821,0.023723161890541807,0.05861639653688123,130.51149081831426,1.033838459563004,0.006580651301987699
b,0.060610900576589445,0.3757404183399195,0.011881955309386487,0.022103384366141194,303.7437105368271,1.0123811110799943,0.015315367495091523
a_w,1.0281076771062685,1.4066211133561062,0.04448126523087188,0.20786241501255526,6.4090658840318255,1.7432835885043334,0.00032315796478788345
b_w,0.024179667954640594,0.38055870690808774,0.012034322972380117,0.022630198422864484,230.32077355711735,1.0193789851112904,0.011613235653659168
σ_w[1],1.3455680644001593,1.6705160665339347,0.05282635638152616,0.2540408078776962,5.821170767355802,1.9321245899633555,0.00029351511310693863
σ_w[2],0.2538039456690676,0.3297675836661596,0.010428166628752034,0.020742790323938522,257.77540773194755,1.0191390166875678,0.012997553409861211
ρ_w[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w[2,1],-0.016673958951423724,0.43439915552247604,0.013736907451047355,0.016716795555875345,743.2287497480621,1.0078624417323927,0.037475085213094096
ρ_w[1,2],-0.016673958951423724,0.43439915552247604,0.013736907451047355,0.016716795555875345,743.2287497480621,1.0078624417323927,0.037475085213094096
ρ_w[2,2],1.0,8.341939536332633e-17,2.6379529038220052e-18,0.0,948.0533564689293,0.9959919678390986,0.047802752964381856
ab_w[1,1],2.437631207777484,1.8249344635445977,0.05770949485338447,0.2970014604005719,5.412961898015631,2.180796959941168,0.0002729324026447165
ab_w[2,1],0.014333519128910989,0.3646472508849527,0.011531158553153002,0.019590892117746832,293.43151721965717,1.0175073118292637,0.014795406011596918
ab_w[1,2],0.18391897448430167,3.1231528564237254,0.09876276507159809,0.5357787237220403,4.514242733448456,3.766094492376026,0.00022761717864912666
ab_w[2,2],0.014319373722666463,0.3682847810253941,0.011646187356166071,0.01922236164322134,281.44227871666726,1.0173909316715863,0.014190884544024576
a_p,1.0649879963109115,1.325611463581046,0.04191951517345451,0.1948546913967514,7.522314991848629,1.5630734945588434,0.00037929021908103013
b_p,-0.0144581953492576,0.3649366935692965,0.011540311534498996,0.019354082904692548,300.1911622354678,1.0166246425095624,0.015136240879817018
σ_p[1],1.0040288703903442,1.7605937204128432,0.05567486190694267,0.3066541935431973,4.39264777718077,4.524499883025482,0.00022148611691455485
σ_p[2],0.025565640211648265,0.03156421511391441,0.0009981481231548066,0.0033951375135644352,25.472830442715164,1.1894752827003683,0.0012843912345735212
ρ_p[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_p[2,1],0.0015317501734702658,0.4409996747448727,0.013945634195872324,0.026434943365453996,251.65539374522686,1.0241269006972198,0.012688970021859295
ρ_p[1,2],0.0015317501734702658,0.4409996747448727,0.013945634195872324,0.026434943365453996,251.65539374522686,1.0241269006972198,0.012688970021859295
ρ_p[2,2],1.0,8.117048000820606e-17,2.566835955950941e-18,0.0,1001.1490777139401,0.9959919678390986,0.05047994579200317
ab_p[1,1],2.202644115406618,1.802722811405731,0.057007100739842775,0.2922180427538903,5.4592778899990835,2.1493592898089267,0.0002752677479161383
ab_p[2,1],-0.01492599978918918,0.36428335720083427,0.011519651224473362,0.019353185410101493,302.491901975354,1.0169245848658328,0.015252248795057936
ab_p[1,2],-0.028488415461997187,2.7744165083417207,0.08773475344331381,0.47788885853233826,4.636192444084116,3.2846186411404235,0.00023376612781091926
ab_p[2,2],-0.011548346151010129,0.36588158974313295,0.011570191775116014,0.019335668374042603,309.1472018494456,1.0169759916828376,0.01558782237181317
ab_p[1,3],-0.03275425600016844,2.778363927838809,0.08785958180822337,0.4786674740902633,4.626185471290831,3.3146953337873803,0.0002332615561588127
ab_p[2,3],-0.013789478359435413,0.36410168490582706,0.011513906242073635,0.01939068111653164,290.16715344856857,1.0169521481872554,0.014630810238721407
ab_p[1,4],2.202245681361455,1.8023628266525185,0.05699571702241192,0.2921942398147907,5.459502432635008,2.149955043348893,0.0002752790698064959
ab_p[2,4],-0.014016149642154668,0.3644557377838179,0.01152510237713952,0.019234773712437897,309.6727897994314,1.0167014509716654,0.01561432357109989
ab_p[1,5],-0.024742967571553757,2.7646471650386624,0.08742581968249605,0.4763776381531576,4.626509250770723,3.3206756072860797,0.00023327788177001025
ab_p[2,5],-0.013891127992847472,0.369004421482936,0.011668944385588454,0.01966511753615584,294.1159561901339,1.0171258368768568,0.0148299167981488
ab_p[1,6],2.2024915947337713,1.8010017927565536,0.05695267735157251,0.29202334614787734,5.457028947852988,2.151799970317094,0.00027515435173953344
ab_p[2,6],-0.014406969523573886,0.3639931087668211,0.011510472763085575,0.019272493799067366,305.21157336377337,1.0162643804002767,0.015389380084808472
a_e,0.07413218458056228,0.7456518289163184,0.02357958120845768,0.05653269805893558,135.3557436723277,1.033441412396236,0.006824908253241892
b_e,0.0600151896373101,0.37493101991075695,0.011856359883679325,0.021291732197039358,337.07337199759354,1.0099000435272165,0.01699591591815669
σ_e[1],0.4144806511612714,0.17215808486180076,0.0054441166577584455,0.008188466778295721,451.6113603714293,1.003226541771158,0.02277115116827434
σ_e[2],0.27654327345091145,0.1481983693846791,0.004686443927785522,0.00800460034617261,358.40378901664695,1.014367031169401,0.018071438354137298
ρ_e[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_e[2,1],0.08948866985695958,0.32469438131581246,0.01026773788417187,0.012326384731855329,625.9799223016764,0.9997151748232573,0.031563164016318396
