parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a_w[1],0.10040758677268072,0.5647377110545517,0.01785857447522434,0.027235386362696217,319.02604024036293,1.0072713396111246,0.001032152675546526
a_w[2],-0.4055660663418619,0.5522866082038925,0.017464836031333357,0.03126958303239747,349.03638887596156,1.0134075158643758,0.001129245883408115
a_w[3],0.2025256264059908,0.5469811693113176,0.017297063322459574,0.028287433210972008,327.4944986528953,1.011874271634035,0.001059550884174462
a_w[4],-0.14782845023171168,0.5387139067426828,0.017035629525144178,0.028943430096194777,346.42894786561453,1.0139715286933886,0.0011208099663490192
a_w[5],0.008220252281631915,0.5507084765179684,0.017414931125581342,0.03832592116718757,244.21175429578486,1.0151542034666472,0.0007901042040530403
a_w[6],0.48073340486247523,0.5605186151906316,0.01772515494925851,0.025435950281246022,366.5537122377739,1.0066167671293345,0.0011859201039911302
b_w[1],0.10962091481090996,0.3089375942544097,0.009769464526968828,0.008928567731462174,1066.2717798398396,0.9969440023612318,0.0034497349169122947
b_w[2],-0.030565918906149986,0.3105522501593492,0.00982052442993932,0.009981852470154678,1025.4191894377193,0.9992747941046015,0.0033175635416390235
b_w[3],-0.12315959850973322,0.3300125084267174,0.010435911829739375,0.009352447086832359,1162.9475860496336,1.0013393877335226,0.0037625124944569875
b_w[4],0.020023606512203602,0.32198595137633407,0.010182089809254433,0.008901040214288265,1125.5259668156962,1.0019445297650977,0.0036414414233102844
b_w[5],0.048064311398214835,0.3264518195729615,0.010323312961568947,0.009370048521485657,1093.9632704952855,1.000390827890121,0.0035393258673825315
b_w[6],0.043962558118914905,0.34171078263161864,0.010805843741546207,0.01183537073229899,1179.7139116171907,0.9994931837297308,0.0038167569936853256
σ_w[1],0.19463566496538212,0.21409385051584537,0.006770242006656863,0.010413837340073683,283.12277139181555,1.0128236512427586,0.0009159939601796733
σ_w[2],0.335744367506856,0.25859364723172273,0.008177449137023394,0.012224365088151196,441.76041972023285,1.0062380278834926,0.0014292381863914895
σ_w[3],0.3213283115141327,0.25873185699042867,0.008181819713347124,0.012551677692460218,400.84574856910945,1.0034909344160188,0.0012968659597672274
σ_w[4],0.27694315350904364,0.22925857421637488,0.007249792676464967,0.012339641966730997,351.4258979294508,1.016271427475802,0.0011369767199283668
σ_w[5],0.27800124461705034,0.25691395016988183,0.008124332452078296,0.011966252209188842,418.2075232716048,1.008443391124762,0.0013530369300050022
σ_w[6],0.33903262660053307,0.27922173652079463,0.008829766596331301,0.013105218918735239,440.8084042846999,1.0062897596868337,0.0014261581077928693
σ_w[7],0.9808159963728952,0.98604261958169,0.03118140547877086,0.036038377299355336,831.2622394977562,1.0033487728403852,0.0026894028585628103
σ_w[8],0.998404068334758,1.0486119719097013,0.03316002212955161,0.036777027922984706,806.9091559011588,1.000516319439996,0.0026106127373140935
σ_w[9],1.0375810416138014,1.0139153228186024,0.03206281774651677,0.04330140124031644,704.8160221494472,1.001843354059579,0.0022803083487526908
σ_w[10],1.0055661114688705,1.004384885630713,0.03176143886040776,0.031654542993706514,907.0367362646109,1.0010361442100397,0.0029345579233881593
σ_w[11],0.9918954942379793,0.9764785706832898,0.03087896369704917,0.04077926547022871,551.1494985194233,1.0037486480337758,0.0017831473226898543
σ_w[12],0.9426919434845754,0.9757840168553354,0.030856999976509925,0.04170116471129267,723.8722937319285,1.0046427055923668,0.002341961565790962
ρ_w_1[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_1[2,1],-0.05991887005354368,0.4570008778624632,0.014451636667418053,0.01105479419435154,1495.680140698098,0.9991159953803737,0.004839010188071882
ρ_w_1[1,2],-0.05991887005354368,0.4570008778624632,0.014451636667418053,0.01105479419435154,1495.680140698098,0.9991159953803737,0.004839010188071882
ρ_w_1[2,2],1.0,7.401486830834377e-17,2.3405556457178004e-18,0.0,950.8808290155436,0.9959919678390986,0.0030764077786717275
ρ_w_2[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_2[2,1],0.17573815467761655,0.42136534645087925,0.01332474221850725,0.012769260424934389,1256.3616861200085,0.9986606582428365,0.004064737395122665
ρ_w_2[1,2],0.17573815467761655,0.42136534645087925,0.01332474221850725,0.012769260424934389,1256.3616861200085,0.9986606582428365,0.004064737395122665
ρ_w_2[2,2],1.0,8.589701613292146e-17,2.716302151922604e-18,0.0,954.7303908945768,0.9959919678390986,0.0030888623594643562
ρ_w_3[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_3[2,1],-0.11504298503762436,0.4474284762942279,0.014148930751084142,0.010293585787782408,1743.9551533174367,0.9975069049057259,0.005642260350200736
ρ_w_3[1,2],-0.11504298503762436,0.4474284762942279,0.014148930751084142,0.010293585787782408,1743.9551533174367,0.9975069049057259,0.005642260350200736
ρ_w_3[2,2],1.0,8.393547255076983e-17,2.6542726974297566e-18,0.0,1023.6821559725876,0.9959919678390986,0.0033119436751942693
ρ_w_4[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_4[2,1],-0.10833197036017536,0.45635888346438563,0.014431335021988114,0.01379058979481044,1070.0779038099076,1.0038769394247373,0.003462048961985881
ρ_w_4[1,2],-0.10833197036017536,0.45635888346438563,0.014431335021988114,0.01379058979481044,1070.0779038099076,1.0038769394247373,0.003462048961985881
ρ_w_4[2,2],1.0,8.124644678197683e-17,2.5692382362670444e-18,0.0,954.7246927438617,0.9959919678390986,0.0030888439240993252
ρ_w_5[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_5[2,1],-0.0339985239597485,0.4318680397915357,0.013656866543734821,0.009768867997351263,1679.7935310627022,1.0009615873682143,0.005434676699575432
ρ_w_5[1,2],-0.0339985239597485,0.4318680397915357,0.013656866543734821,0.009768867997351263,1679.7935310627022,1.0009615873682143,0.005434676699575432
ρ_w_5[2,2],1.0,8.422895411945399e-17,2.6635533995129675e-18,0.0,1107.5212028953983,0.9959919678390986,0.0035831901744814505
ρ_w_6[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w_6[2,1],-0.15609932930853584,0.4473700946134956,0.014147084560236712,0.01136000255993947,1408.3498293930447,0.9976343240642532,0.004556468316562242
ρ_w_6[1,2],-0.15609932930853584,0.4473700946134956,0.014147084560236712,0.01136000255993947,1408.3498293930447,0.9976343240642532,0.004556468316562242
ρ_w_6[2,2],1.0,8.078957466834763e-17,2.5547906714822093e-18,0.0,880.9798812753497,0.9959919678390986,0.0028502555492834294
ab_w_1[1,1],0.14329975067063488,0.5489050201560431,0.017357900827937294,0.02738615891356081,296.11826531954273,1.0079557404835187,0.0009580385964653077
