"[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.00173611 0.00130208 0.00607639 0.00434028
 0.00694444 0.00651042 0.00434028 0.00390625]","[0.00086806 0.00130208 0.09375    0.00130208 0.09331597 0.12977431
 0.11371528 0.00651042 0.10243056 0.00390625]","[0.09722222 0.08333333 0.15711806 0.08940972 0.15842014 0.12977431
 0.17621528 0.19227431 0.15364583 0.14583333]","[0.21571181 0.09418403 0.15711806 0.16276042 0.16840278 0.1875
 0.1953125  0.21006944 0.15364583 0.16883681]","[0.21571181 0.16883681 0.05685764 0.16276042 0.16840278 0.1875
 0.1953125  0.21006944 0.17664931 0.16883681]","[0.23784722 0.25998264 0.11414931 0.15798611 0.20616319 0.25868056
 0.26779514 0.22916667 0.24869792 0.20052083]","[0.28862847 0.30989583 0.18012153 0.15798611 0.12152778 0.25868056
 0.26779514 0.30685764 0.24869792 0.23741319]","[0.31814236 0.30989583 0.22482639 0.28211806 0.26909722 0.12717014
 0.29947917 0.30685764 0.31553819 0.25564236]","[0.31814236 0.34765625 0.33984375 0.35720486 0.32335069 0.19270833
 0.16276042 0.38845486 0.31553819 0.34678819]","[0.36588542 0.35633681 0.29991319 0.3828125  0.35850694 0.29253472
 0.22786458 0.17230903 0.35720486 0.35373264]","[0.36588542 0.35633681 0.29991319 0.31597222 0.35850694 0.32074653
 0.26475694 0.17230903 0.18619792 0.35373264]","[0.37890625 0.33246528 0.32595486 0.3203125  0.31640625 0.37152778
 0.32465278 0.30729167 0.18619792 0.22569444]","[0.37890625 0.38715278 0.32595486 0.3203125  0.32855903 0.37152778
 0.32465278 0.33203125 0.234375   0.27256944]","[0.22005208 0.38715278 0.33203125 0.29296875 0.30859375 0.28559028
 0.28038194 0.33203125 0.27560764 0.31336806]","[0.296875   0.31336806 0.22873264 0.29296875 0.30859375 0.28559028
 0.24001736 0.29383681 0.29644097 0.31336806]","[0.36154514 0.34548611 0.32552083 0.25390625 0.35850694 0.33984375
 0.27300347 0.30381944 0.234375   0.35026042]","[0.40104167 0.34548611 0.32552083 0.25390625 0.35850694 0.33984375
 0.27300347 0.30381944 0.23828125 0.35026042]","[0.40104167 0.42795139 0.40364583 0.30381944 0.32074653 0.33203125
 0.29600694 0.30078125 0.23828125 0.27256944]","[0.32942708 0.40234375 0.44487847 0.38802083 0.40321181 0.41493056
 0.29600694 0.37065972 0.30642361 0.28038194]","[0.30729167 0.37847222 0.44487847 0.39887153 0.40321181 0.4296875
 0.34939236 0.33463542 0.33550347 0.28298611]","[0.30729167 0.37847222 0.38802083 0.39887153 0.41666667 0.4296875
 0.37022569 0.33463542 0.33550347 0.28298611]","[0.28602431 0.37803819 0.36414931 0.34244792 0.35546875 0.44618056
 0.38498264 0.37890625 0.37326389 0.28732639]","[0.30815972 0.38585069 0.36414931 0.32595486 0.36154514 0.44618056
 0.41189236 0.39279514 0.40017361 0.31553819]","[0.30815972 0.38585069 0.37369792 0.33072917 0.33116319 0.36501736
 0.41189236 0.41449653 0.42274306 0.3828125 ]","[0.33723958 0.35329861 0.35894097 0.33072917 0.31814236 0.36501736
 0.31770833 0.41449653 0.42274306 0.36979167]","[0.37934028 0.41710069 0.35894097 0.29600694 0.31814236 0.34418403
 0.31640625 0.31857639 0.36241319 0.40842014]","[0.37934028 0.43315972 0.41710069 0.36501736 0.35416667 0.37326389
 0.33810764 0.31857639 0.33376736 0.35980903]","[0.33116319 0.43315972 0.43836806 0.36501736 0.37413194 0.37326389
 0.33810764 0.32638889 0.33376736 0.35980903]","[0.3203125  0.34548611 0.43836806 0.421875   0.42491319 0.39019097
 0.28776042 0.32638889 0.33116319 0.32638889]","[0.3203125  0.34548611 0.40625    0.421875   0.44878472 0.39019097
 0.28776042 0.32638889 0.33116319 0.32638889]","[0.32769097 0.33680556 0.40451389 0.38498264 0.46571181 0.42578125
 0.35677083 0.40147569 0.33940972 0.31380208]","[0.33203125 0.34722222 0.38975694 0.37065972 0.40928819 0.45008681
 0.35677083 0.45052083 0.40581597 0.33767361]","[0.35590278 0.34722222 0.38975694 0.37065972 0.38715278 0.39930556
 0.375      0.49088542 0.40581597 0.33767361]","[0.43142361 0.38368056 0.40842014 0.38368056 0.38715278 0.37890625
 0.35069444 0.51475694 0.46918403 0.39496528]","[0.44791667 0.45703125 0.42621528 0.42144097 0.3671875  0.3515625
 0.35069444 0.51475694 0.48654514 0.43880208]","[0.47482639 0.45703125 0.42621528 0.43272569 0.40017361 0.3515625
 0.375      0.43619792 0.45486111 0.48046875]","[0.47612847 0.484375   0.47916667 0.43706597 0.40017361 0.35460069
 0.37456597 0.41015625 0.43446181 0.48046875]","[0.47612847 0.49348958 0.47916667 0.43706597 0.40842014 0.35460069
 0.37456597 0.41015625 0.43446181 0.43229167]","[0.35546875 0.39887153 0.47439236 0.45833333 0.43619792 0.39887153
 0.36762153 0.38585069 0.41883681 0.36024306]","[0.35546875 0.38671875 0.47439236 0.45833333 0.43619792 0.39930556
 0.39496528 0.30642361 0.38932292 0.36024306]","[0.33376736 0.38671875 0.39626736 0.36371528 0.4375     0.41840278
 0.41536458 0.34071181 0.38932292 0.36371528]","[0.33376736 0.38151042 0.39626736 0.36371528 0.4375     0.42795139
 0.42881944 0.36762153 0.31119792 0.36371528]","[0.31597222 0.35373264 0.37369792 0.33116319 0.36935764 0.40190972
 0.42881944 0.38324653 0.34765625 0.33420139]","[0.33550347 0.35373264 0.37369792 0.33116319 0.35894097 0.40190972
 0.39756944 0.38324653 0.38324653 0.35069444]","[0.33550347 0.38585069 0.39105903 0.31467014 0.35894097 0.37543403
 0.38324653 0.35807292 0.38324653 0.42013889]","[0.39453125 0.45225694 0.43663194 0.41840278 0.37673611 0.37543403
 0.38324653 0.33810764 0.37803819 0.42013889]","[0.40625    0.47526042 0.44965278 0.44921875 0.40364583 0.33940972
 0.35460069 0.33810764 0.35373264 0.37543403]","[0.37717014 0.47526042 0.4765625  0.44921875 0.45442708 0.33289931
 0.32595486 0.34939236 0.35373264 0.39583333]","[0.39409722 0.4375     0.53819444 0.52387153 0.49001736 0.38802083
 0.4609375  0.34939236 0.38975694 0.39583333]","[0.42664931 0.41449653 0.53819444 0.546875   0.52126736 0.45529514
 0.48914931 0.47439236 0.41883681 0.44401042]","[0.45486111 0.41449653 0.46875    0.484375   0.55381944 0.49348958
 0.48914931 0.52126736 0.49001736 0.4765625 ]","[0.45486111 0.43359375 0.44921875 0.44444444 0.55381944 0.49348958
 0.51996528 0.52126736 0.52170139 0.4765625 ]","[0.47829861 0.43359375 0.44227431 0.44444444 0.48697917 0.44270833
 0.53645833 0.53776042 0.52170139 0.52387153]","[0.54904514 0.5078125  0.46788194 0.42274306 0.44140625 0.42404514
 0.49392361 0.57291667 0.56597222 0.55338542]","[0.54904514 0.5078125  0.46788194 0.42274306 0.44140625 0.41710069
 0.49392361 0.57291667 0.60850694 0.57248264]","[0.578125   0.58333333 0.5390625  0.43402778 0.42317708 0.41710069
 0.43706597 0.52821181 0.60850694 0.61545139]","[0.59678819 0.57986111 0.54123264 0.48350694 0.49869792 0.46744792
 0.41536458 0.49869792 0.53862847 0.61545139]","[0.55772569 0.57986111 0.56857639 0.48350694 0.515625   0.46744792
 0.41536458 0.50130208 0.51432292 0.55729167]","[0.5390625  0.50998264 0.59157986 0.52907986 0.53255208 0.52951389
 0.43619792 0.50607639 0.50520833 0.50217014]","[0.51649306 0.43706597 0.59157986 0.53645833 0.55598958 0.57682292
 0.48220486 0.56119792 0.47829861 0.47309028]","[0.46788194 0.43706597 0.52864583 0.53645833 0.55946181 0.59288194
 0.50737847 0.57074653 0.53168403 0.44053819]","[0.46788194 0.40755208 0.50477431 0.48784722 0.51736111 0.59678819
 0.52430556 0.59548611 0.56901042 0.54600694]","[0.55208333 0.40755208 0.50477431 0.48784722 0.51345486 0.55034722
 0.52430556 0.60720486 0.56901042 0.56293403]","[0.59331597 0.56640625 0.50173611 0.49262153 0.51649306 0.48133681
 0.47395833 0.62673611 0.58723958 0.5859375 ]","[0.63454861 0.60460069 0.50173611 0.52734375 0.53038194 0.48133681
 0.47395833 0.53776042 0.63932292 0.5859375 ]","[0.65625    0.63715278 0.62456597 0.52734375 0.55381944 0.49305556
 0.52517361 0.53428819 0.58333333 0.65625   ]","[0.6796875  0.63715278 0.62456597 0.65885417 0.55381944 0.49305556
 0.55425347 0.53428819 0.58333333 0.65625   ]","[0.59418403 0.67274306 0.65972222 0.65885417 0.671875   0.65407986
 0.58984375 0.53559028 0.54470486 0.59201389]","[0.59418403 0.67274306 0.66666667 0.65581597 0.67013889 0.65928819
 0.66276042 0.55555556 0.54470486 0.55295139]","[0.54340278 0.58680556 0.66666667 0.67664931 0.67013889 0.67491319
 0.68055556 0.69097222 0.54644097 0.55555556]","[0.55078125 0.53211806 0.54296875 0.62022569 0.70138889 0.67491319
 0.68446181 0.69444444 0.67447917 0.57421875]","[0.55555556 0.53211806 0.54296875 0.62109375 0.70138889 0.70572917
 0.68446181 0.69444444 0.67447917 0.71223958]","[0.70703125 0.54991319 0.52300347 0.63324653 0.62152778 0.66319444
 0.70703125 0.71614583 0.72699653 0.73307292]","[0.72743056 0.69835069 0.52821181 0.625      0.58246528 0.66319444
 0.59244792 0.75434028 0.72699653 0.73307292]","[0.77864583 0.75694444 0.75694444 0.63585069 0.58680556 0.66102431
 0.58246528 0.75434028 0.77604167 0.79644097]","[0.77864583 0.75694444 0.78428819 0.80946181 0.58680556 0.68706597
 0.60286458 0.67925347 0.77604167 0.81727431]","[0.79817708 0.77690972 0.81076389 0.81206597 0.79079861 0.70963542
 0.60460069 0.65407986 0.63237847 0.81727431]","[0.79817708 0.80772569 0.828125   0.83289931 0.82899306 0.81901042
 0.60460069 0.65364583 0.65321181 0.68446181]","[0.71006944 0.7421875  0.82855903 0.82942708 0.82638889 0.83940972
 0.83940972 0.67664931 0.66102431 0.68012153]","[0.69791667 0.7421875  0.76519097 0.85503472 0.82638889 0.86762153
 0.83637153 0.67664931 0.67578125 0.68012153]","[0.73177083 0.76953125 0.75564236 0.76953125 0.86328125 0.88237847
 0.88151042 0.87456597 0.67578125 0.70486111]","[0.73177083 0.76953125 0.75564236 0.76953125 0.86328125 0.88237847
 0.88151042 0.89930556 0.87456597 0.70486111]","[0.9140625  0.7890625  0.765625   0.77647569 0.75694444 0.77083333
 0.9140625  0.89930556 0.90364583 0.90711806]","[0.9140625  0.92100694 0.7734375  0.78342014 0.75694444 0.77083333
 0.8046875  0.91232639 0.90364583 0.9140625 ]","[0.92100694 0.92100694 0.88802083 0.78515625 0.76085069 0.74045139
 0.75260417 0.77864583 0.90972222 0.88845486]","[0.88845486 0.88585069 0.88237847 0.78515625 0.76085069 0.74045139
 0.75260417 0.77864583 0.79557292 0.88845486]","[0.87282986 0.88194444 0.87065972 0.87022569 0.81119792 0.73784722
 0.71831597 0.7109375  0.73697917 0.72439236]","[0.87282986 0.87543403 0.87152778 0.87022569 0.80815972 0.73784722
 0.74088542 0.72612847 0.73697917 0.70486111]","[0.78472222 0.79904514 0.87152778 0.87022569 0.828125   0.86675347
 0.74088542 0.72612847 0.75651042 0.70486111]","[0.78125    0.8046875  0.78645833 0.90451389 0.828125   0.88585069
 0.89019097 0.89626736 0.75651042 0.71831597]","[0.79861111 0.81206597 0.72916667 0.78385417 0.84678819 0.90060764
 0.88888889 0.90017361 0.90017361 0.75737847]","[0.79513889 0.80946181 0.72222222 0.78385417 0.73741319 0.89322917
 0.88888889 0.89279514 0.90017361 0.89453125]","[0.88758681 0.82769097 0.72222222 0.69835069 0.72048611 0.72309028
 0.88151042 0.89279514 0.89279514 0.88411458]","[0.87977431 0.88237847 0.75998264 0.69835069 0.7109375  0.72309028
 0.88151042 0.89019097 0.89019097 0.88411458]","[0.87413194 0.88237847 0.87369792 0.70486111 0.73177083 0.71701389
 0.75173611 0.76909722 0.87673611 0.87065972]"
"[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.00520833 0.00086806 0.00260417
 0.01085069 0.00911458 0.00303819 0.00477431]","[0.00173611 0.00737847 0.00303819 0.08637153 0.09678819 0.00260417
 0.01085069 0.06901042 0.11935764 0.07378472]","[0.08897569 0.09331597 0.10980903 0.13064236 0.12890625 0.06510417
 0.10894097 0.14409722 0.14409722 0.12717014]","[0.14756944 0.06423611 0.10980903 0.13064236 0.12890625 0.10894097
 0.20225694 0.14409722 0.18272569 0.20182292]","[0.19835069 0.11675347 0.07725694 0.16666667 0.17708333 0.16145833
 0.20225694 0.18576389 0.24175347 0.20182292]","[0.26996528 0.17751736 0.12413194 0.10980903 0.22482639 0.20399306
 0.26779514 0.21267361 0.24175347 0.22048611]","[0.29991319 0.22092014 0.171875   0.19053819 0.22482639 0.24479167
 0.29774306 0.21267361 0.23567708 0.23654514]","[0.28211806 0.24522569 0.21050347 0.2578125  0.16015625 0.14149306
 0.29774306 0.26996528 0.21267361 0.24479167]","[0.28211806 0.24001736 0.26171875 0.28689236 0.16015625 0.14149306
 0.12803819 0.29904514 0.21267361 0.24479167]","[0.30685764 0.24001736 0.22395833 0.30208333 0.22482639 0.18489583
 0.21354167 0.14366319 0.25043403 0.27126736]","[0.30381944 0.27473958 0.24392361 0.28342014 0.26822917 0.26996528
 0.21354167 0.14366319 0.140625   0.27994792]","[0.30381944 0.27473958 0.24392361 0.28342014 0.26822917 0.26996528
 0.25130208 0.18793403 0.22526042 0.27994792]","[0.13671875 0.23611111 0.25694444 0.26041667 0.23914931 0.26519097
 0.29079861 0.21006944 0.27473958 0.22439236]","[0.18836806 0.19618056 0.25694444 0.26041667 0.23914931 0.26519097
 0.29079861 0.25868056 0.27473958 0.29991319]","[0.31032986 0.30034722 0.20486111 0.32769097 0.31640625 0.29947917
 0.29947917 0.25260417 0.36414931 0.31814236]","[0.29817708 0.30034722 0.23654514 0.32769097 0.31640625 0.32465278
 0.29947917 0.25086806 0.36414931 0.31814236]","[0.33289931 0.30859375 0.24435764 0.20399306 0.17144097 0.29600694
 0.26258681 0.21918403 0.27951389 0.27777778]","[0.33289931 0.37152778 0.26605903 0.32986111 0.24652778 0.2734375
 0.27690972 0.2421875  0.26692708 0.29904514]","[0.29600694 0.37152778 0.30859375 0.37152778 0.30034722 0.30642361
 0.25737847 0.26171875 0.29079861 0.32291667]","[0.27604167 0.33463542 0.24348958 0.39930556 0.33289931 0.30642361
 0.33984375 0.27300347 0.29991319 0.32291667]","[0.27604167 0.29817708 0.24348958 0.34765625 0.359375   0.33072917
 0.33984375 0.33463542 0.23567708 0.33680556]","[0.27517361 0.29817708 0.25434028 0.32161458 0.29861111 0.33984375
 0.35199653 0.37890625 0.2734375  0.32118056]","[0.30425347 0.29383681 0.25434028 0.32161458 0.33289931 0.32595486
 0.41319444 0.41493056 0.31336806 0.32118056]","[0.35329861 0.31293403 0.32942708 0.34461806 0.359375   0.34765625
 0.39192708 0.41493056 0.38975694 0.40407986]","[0.35329861 0.32942708 0.32942708 0.38368056 0.359375   0.34765625
 0.39192708 0.38064236 0.38975694 0.41970486]","[0.38194444 0.34635417 0.33767361 0.30989583 0.37239583 0.36371528
 0.36892361 0.34895833 0.30946181 0.41796875]","[0.42664931 0.37977431 0.33767361 0.30989583 0.37239583 0.36371528
 0.35069444 0.34895833 0.30946181 0.41796875]","[0.40755208 0.42361111 0.40625    0.3828125  0.43272569 0.38715278
 0.390625   0.36458333 0.32942708 0.3359375 ]","[0.37326389 0.36935764 0.43315972 0.42664931 0.44401042 0.38715278
 0.36979167 0.36458333 0.31857639 0.30251736]","[0.37326389 0.34982639 0.39670139 0.44835069 0.46657986 0.43359375
 0.40451389 0.30685764 0.36241319 0.32291667]","[0.38671875 0.34982639 0.39670139 0.44835069 0.48567708 0.46788194
 0.40451389 0.34592014 0.36241319 0.32291667]","[0.38194444 0.32595486 0.34114583 0.36284722 0.4375     0.46006944
 0.4140625  0.40060764 0.39019097 0.33984375]","[0.32465278 0.32595486 0.34288194 0.36284722 0.37760417 0.39583333
 0.41449653 0.40625    0.40842014 0.36241319]","[0.34982639 0.25824653 0.34288194 0.31857639 0.37760417 0.39583333
 0.41449653 0.41796875 0.40842014 0.38454861]","[0.37977431 0.30729167 0.33723958 0.32769097 0.35894097 0.37760417
 0.3671875  0.41796875 0.42447917 0.39236111]","[0.38628472 0.33723958 0.34114583 0.32769097 0.35460069 0.37717014
 0.35112847 0.38411458 0.38975694 0.43098958]","[0.41796875 0.40972222 0.37543403 0.36631944 0.328125   0.32595486
 0.32595486 0.33506944 0.35677083 0.43098958]","[0.38932292 0.43836806 0.42751736 0.36631944 0.39583333 0.33680556
 0.36371528 0.33506944 0.375      0.41362847]","[0.38932292 0.43836806 0.44184028 0.39930556 0.39583333 0.33680556
 0.36371528 0.37109375 0.375      0.41362847]","[0.37890625 0.37803819 0.44184028 0.40928819 0.40755208 0.39149306
 0.32986111 0.28168403 0.36328125 0.38585069]","[0.35677083 0.36111111 0.38454861 0.35546875 0.40538194 0.39149306
 0.3828125  0.34939236 0.33159722 0.37196181]","[0.35677083 0.35112847 0.41579861 0.37847222 0.38194444 0.45442708
 0.3828125  0.42317708 0.43619792 0.38454861]","[0.40798611 0.37630208 0.41623264 0.37847222 0.38194444 0.41362847
 0.45876736 0.42317708 0.43619792 0.41319444]","[0.46831597 0.32595486 0.42751736 0.38107639 0.37326389 0.41362847
 0.45876736 0.44444444 0.47135417 0.41319444]","[0.46831597 0.44010417 0.42751736 0.40451389 0.39105903 0.37413194
 0.42751736 0.40364583 0.51258681 0.484375  ]","[0.50868056 0.45008681 0.45703125 0.47439236 0.38802083 0.37369792
 0.41840278 0.38064236 0.51258681 0.48697917]","[0.53819444 0.45008681 0.49479167 0.47439236 0.38802083 0.37803819
 0.40190972 0.40494792 0.41232639 0.48697917]","[0.53819444 0.47916667 0.51302083 0.50737847 0.46614583 0.37803819
 0.40885417 0.43229167 0.41232639 0.44053819]","[0.45659722 0.45703125 0.51302083 0.53776042 0.515625   0.44097222
 0.38151042 0.43098958 0.40190972 0.42447917]","[0.45659722 0.453125   0.4140625  0.53776042 0.515625   0.46788194
 0.39366319 0.41666667 0.39800347 0.42274306]","[0.46006944 0.45355903 0.4140625  0.44661458 0.5546875  0.47786458
 0.44314236 0.47829861 0.39800347 0.44140625]","[0.45920139 0.47873264 0.40711806 0.44661458 0.50217014 0.53515625
 0.45920139 0.50911458 0.49262153 0.44965278]","[0.45920139 0.47873264 0.41666667 0.44401042 0.45833333 0.53515625
 0.48958333 0.54513889 0.51692708 0.50086806]","[0.48394097 0.47829861 0.42274306 0.42621528 0.43185764 0.42578125
 0.46050347 0.54513889 0.52256944 0.50086806]","[0.50824653 0.49001736 0.45746528 0.44704861 0.42795139 0.41449653
 0.46050347 0.46223958 0.54123264 0.52777778]","[0.50824653 0.51041667 0.47960069 0.44704861 0.42795139 0.41449653
 0.40104167 0.46223958 0.54123264 0.52777778]","[0.51432292 0.54600694 0.53949653 0.55946181 0.52039931 0.38758681
 0.42447917 0.44878472 0.48871528 0.48133681]","[0.43359375 0.54600694 0.54774306 0.55946181 0.53038194 0.49262153
 0.44748264 0.51041667 0.47829861 0.46875   ]","[0.43359375 0.47569444 0.54774306 0.57118056 0.54513889 0.49262153
 0.44748264 0.51041667 0.44965278 0.46223958]","[0.43098958 0.43663194 0.46701389 0.57118056 0.55946181 0.50911458
 0.484375   0.49435764 0.44965278 0.453125  ]","[0.44401042 0.43489583 0.43923611 0.49739583 0.55946181 0.55642361
 0.50173611 0.55251736 0.55555556 0.47352431]","[0.46571181 0.47222222 0.45355903 0.46050347 0.52300347 0.55642361
 0.52300347 0.5859375  0.57855903 0.47352431]","[0.57508681 0.52300347 0.47829861 0.4609375  0.53645833 0.4921875
 0.57074653 0.5859375  0.60980903 0.58463542]","[0.61284722 0.60112847 0.47829861 0.46527778 0.53645833 0.4921875
 0.48914931 0.60503472 0.63237847 0.61892361]","[0.61284722 0.63064236 0.51345486 0.46527778 0.56119792 0.51822917
 0.47005208 0.52517361 0.66276042 0.64496528]","[0.65668403 0.65538194 0.54947917 0.55425347 0.56119792 0.51822917
 0.47005208 0.52517361 0.60112847 0.66970486]","[0.66710069 0.65538194 0.58072917 0.57725694 0.57638889 0.55078125
 0.50043403 0.52517361 0.60112847 0.66970486]","[0.66710069 0.67534722 0.60633681 0.57725694 0.63368056 0.63411458
 0.50043403 0.52821181 0.5625     0.59809028]","[0.609375   0.578125   0.63932292 0.61979167 0.64149306 0.66232639
 0.62803819 0.54383681 0.56293403 0.57595486]","[0.57335069 0.58203125 0.58289931 0.61979167 0.65147569 0.67013889
 0.62803819 0.54383681 0.55598958 0.58333333]","[0.58159722 0.58550347 0.58289931 0.55034722 0.67925347 0.69270833
 0.64626736 0.6484375  0.63498264 0.60460069]","[0.58159722 0.58550347 0.56163194 0.54557292 0.60460069 0.72048611
 0.67534722 0.6484375  0.63498264 0.60460069]","[0.72309028 0.57899306 0.53515625 0.54557292 0.57855903 0.72048611
 0.73871528 0.70442708 0.74348958 0.72873264]","[0.72309028 0.71223958 0.53515625 0.57291667 0.57855903 0.64756944
 0.6796875  0.71137153 0.74348958 0.72873264]","[0.74001736 0.73263889 0.66883681 0.58550347 0.54904514 0.59895833
 0.6796875  0.71137153 0.75998264 0.74435764]","[0.73307292 0.73220486 0.69140625 0.71788194 0.54296875 0.56727431
 0.63888889 0.64236111 0.68055556 0.74435764]","[0.74175347 0.75347222 0.71527778 0.71788194 0.73611111 0.55512153
 0.58072917 0.58072917 0.63888889 0.66666667]","[0.68836806 0.75347222 0.71180556 0.73263889 0.75       0.75694444
 0.58072917 0.58072917 0.63498264 0.65234375]","[0.68836806 0.60069444 0.71180556 0.71050347 0.72569444 0.73567708
 0.60850694 0.55902778 0.63498264 0.58246528]","[0.70095486 0.60894097 0.60069444 0.75694444 0.77560764 0.77734375
 0.65711806 0.78038194 0.67274306 0.62152778]","[0.70095486 0.60894097 0.58289931 0.75694444 0.77560764 0.77734375
 0.65711806 0.81987847 0.67274306 0.62152778]","[0.71918403 0.62803819 0.58289931 0.63541667 0.70225694 0.8046875
 0.69444444 0.81684028 0.81684028 0.81684028]","[0.81684028 0.64149306 0.59157986 0.61067708 0.65060764 0.67708333
 0.69444444 0.83029514 0.81380208 0.81380208]","[0.83029514 0.82161458 0.64149306 0.61067708 0.65190972 0.67708333
 0.6328125  0.83029514 0.82725694 0.81640625]","[0.81944444 0.86111111 0.64149306 0.61805556 0.69314236 0.65277778
 0.61675347 0.69791667 0.87109375 0.86805556]","[0.85850694 0.86111111 0.84678819 0.84548611 0.69314236 0.66883681
 0.61675347 0.69791667 0.87109375 0.86805556]","[0.86197917 0.85199653 0.83984375 0.84635417 0.85199653 0.72048611
 0.67274306 0.66710069 0.75303819 0.71744792]","[0.86197917 0.85199653 0.83029514 0.83463542 0.85199653 0.72048611
 0.69965278 0.66493056 0.69401042 0.71744792]","[0.74435764 0.73654514 0.86892361 0.83463542 0.84461806 0.84375
 0.69965278 0.66493056 0.65928819 0.70095486]","[0.74435764 0.71918403 0.86892361 0.87977431 0.88020833 0.88151042
 0.88671875 0.87847222 0.69661458 0.74131944]","[0.75911458 0.71180556 0.7421875  0.87977431 0.88758681 0.86762153
 0.89236111 0.88324653 0.86935764 0.72960069]","[0.74565972 0.71137153 0.65798611 0.74045139 0.73220486 0.87326389
 0.87282986 0.86241319 0.85460069 0.85980903]","[0.87847222 0.71137153 0.66536458 0.70963542 0.69704861 0.76171875
 0.87803819 0.86892361 0.85373264 0.85894097]","[0.84114583 0.87413194 0.64800347 0.70963542 0.67274306 0.76171875
 0.87803819 0.86892361 0.85373264 0.85894097]","[0.84114583 0.83680556 0.64800347 0.68315972 0.67274306 0.69704861
 0.69227431 0.75694444 0.84114583 0.82465278]"
