parameters,mean,std,naive_se,mcse,ess,rhat,ess_per_sec
a,-0.4600086203312224,0.9089334264254456,0.02874299868965486,0.022731082603673156,1626.669181245693,0.9980342174335629,0.08126393370380436
b,-0.06783086394229364,0.4491566864183674,0.014203581553760574,0.01712560587126694,605.8667085206117,1.0093636585655814,0.03026744011763794
a_w,-0.4589031171110221,0.9360383818796169,0.029600132640780707,0.03889850233355729,790.5362844972499,1.006477431645938,0.039493025966496856
b_w,0.021303847712211253,0.5046849173271676,0.015959538394876273,0.014100161604837036,1562.787878251044,1.0012644734153593,0.07807259890056283
σ_w[1],0.5299265188267814,0.539803684060194,0.017070091309801413,0.021159087799528502,479.5933537440481,1.0047637831908918,0.02395916941980529
σ_w[2],0.9462377529363826,0.9301222121966785,0.02941304692855949,0.06296172755250487,230.96783617147761,1.00079759919337,0.011538520027764126
ρ_w[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_w[2,1],0.014229218413762509,0.45045200494233434,0.014244543122072002,0.014085653542050271,962.5167406672531,1.0010040096956594,0.04808469816984344
ρ_w[1,2],0.014229218413762509,0.45045200494233434,0.014244543122072002,0.014085653542050271,962.5167406672531,1.0010040096956594,0.04808469816984344
ρ_w[2,2],1.0,8.437531209971972e-17,2.6681816452267843e-18,0.0,981.8042100063121,0.9959919678390985,0.049048247272361734
ab_w[1,1],-0.6140974958126096,1.054630793176922,0.03335035396989039,0.05125293165658979,436.22878695320253,1.0168923700362635,0.021792794522306567
ab_w[2,1],0.04826522802387823,1.3257167972416688,0.041922846116273026,0.030203662161384592,747.4557312512898,0.9995750270955337,0.03734083960723852
ab_w[1,2],-0.48520437412940687,1.0331800764077743,0.03267202274555364,0.046283367565132905,549.9111953337242,1.010959320373269,0.027472056049133373
ab_w[2,2],0.13918578713328433,1.44047442199132,0.045551800847071104,0.0673852151363105,669.9473897267909,1.0013377484710704,0.033468735309845205
a_p,1.2415333618246427,1.0014310582689485,0.03166803063762674,0.05130036435791643,437.19203592521006,1.0179470970955202,0.021840915800747172
b_p,0.806175941380491,0.46999038837850754,0.014862401056632148,0.021096408895864442,474.62528414021523,1.0173681441184046,0.023710978279543698
σ_p[1],1.7917932493710593,1.1757334677516849,0.037179956793834526,0.1008356788724771,110.8169849136136,1.0392510569247095,0.005536112824353803
σ_p[2],0.2394953741404847,0.126101352827128,0.003987674909622377,0.007108254160131705,196.69165932155775,1.0222078465147846,0.009826176181046193
ρ_p[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_p[2,1],0.3075844883004322,0.5455345218304034,0.01725131631234924,0.08369597417153377,5.717297142038369,1.9611969260085307,0.00028562049448785934
ρ_p[1,2],0.3075844883004322,0.5455345218304034,0.01725131631234924,0.08369597417153377,5.717297142038369,1.9611969260085307,0.00028562049448785934
ρ_p[2,2],1.0,6.95457378574189e-17,2.1992293318644216e-18,0.0,1014.1879485895513,0.9959919678390986,0.05066605009032279
ab_p[1,1],0.936241721852958,1.0899798337432198,0.034468188782802285,0.06143560272480981,319.5970871817869,1.021753389980345,0.01596619448140078
ab_p[2,1],0.7847163869770825,0.46836343635437505,0.014810952316231347,0.01680159549413552,980.0496544918454,1.0052834006601965,0.04896059448797808
ab_p[1,2],1.4954238704417244,1.7430906001204889,0.05512136464410516,0.21087882074218936,11.293883135696724,1.2891972778541476,0.0005642114456824826
ab_p[2,2],0.8243344097964928,0.525240869665115,0.016609574683494045,0.0376047267120471,48.60136591478008,1.0686867159081275,0.0024279910280149857
ab_p[1,3],0.3599361927292353,1.8989231151905765,0.06004922145544506,0.24742237713131254,9.027070952537542,1.4125754189683772,0.0004509677221921556
ab_p[2,3],0.6225210261313034,0.4653020912381711,0.014714144083520975,0.013927530462471348,1355.4038015118247,1.0008742364831629,0.06771225885252995
ab_p[1,4],1.7702933858616254,2.2925521280204926,0.07249686379210683,0.30633697417729805,8.816646922607667,1.419120011556691,0.0004404555144150256
ab_p[2,4],1.01146827205599,0.48966517200271303,0.015484572343866864,0.026786613657485685,258.3770094573079,1.0264845179763802,0.012907807198416789
ab_p[1,5],1.642724468688283,1.9976458767420509,0.06317110928948863,0.25464010050943175,9.786316840631358,1.3526986769882794,0.0004888975657192168
ab_p[2,5],0.9570036604475297,0.47640725917254534,0.015065320328233874,0.021804452412262143,452.22174421909483,1.0149047540994456,0.022591758831686293
ab_p[1,6],-0.48319772856674775,3.9131987780538062,0.12374621075637751,0.5743776560516827,7.012286282996868,1.6421657353011336,0.00035031460249168166
ab_p[2,6],0.5212637798594582,0.5140646147074844,0.016256150469725436,0.023291481157017346,484.8629785212196,1.0140881113158973,0.024222425429984356
a_e,-0.15661027486413479,0.45932676786694326,0.014525187767429816,0.052265738277563464,11.22907161505428,1.2816663104564572,0.0005609736397552214
b_e,-0.4595150141528501,0.2948063977129372,0.009322596855623358,0.019247148144291428,91.51484681617781,1.0584337580294498,0.004571830910873093
σ_e[1],0.8147037844591579,0.5379477552567317,0.017011401687860896,0.03919219821475517,150.7473935529294,1.0157020307170377,0.007530926593399487
σ_e[2],0.5980781541895428,0.2571105082369413,0.008130548163922178,0.020234516373403996,42.94224696475635,1.0622116369229786,0.002145276956537652
ρ_e[1,1],1.0,0.0,0.0,0.0,NaN,NaN,NaN
ρ_e[2,1],0.08060163482572803,0.3953767004006848,0.012502909070281717,0.037676321024517664,16.931300684229836,1.1633911817478066,0.0008458413746234327
ρ_e[1,2],0.08060163482572803,0.3953767004006848,0.012502909070281717,0.037676321024517664,16.931300684229836,1.1633911817478066,0.0008458413746234327
